|0
365|"

Well, I've provided examples to show that the trend was general, and you
(or others) have provided some counterexamples, mostly ones surrounding
mating practices, etc.  I don't think that these few cases are enough to
disprove the general trend of natural morality.  And, again, the mating
practices need to be reexamined...


No, but mating practices are a special case.  I'll have to think about it
some more.


Indeed.  But, while the natural system is objective, all objective systems
are not the natural one.  So, the terms can not be equated.  The natural
system is a subset of the objective ones.


I don't claim that homosexuality is immoral.  It isn't harmful, although
it isn't helpful either (to the mating process).  And, when you say that
homosexuality is observed in the animal kingdom, don't you mean ""bisexuality?""


This is standard jargon.  Read any textbook.  The ""we"" forms are used
throughout.


That's right.  The goals themselves aren't inherent.


You could, but such would contradict observations.


But a postulate is something that is generally (or always) found to be
true.  I don't think your postulate would be valid.


Yes, and I think the goals of survival and happiness *do* work.  You think
they don't?  Or are they not good goals?"
366|"First this man promotes the dissolution of the Jews through an
intermarriage process, and then says that it will be just a bunch
of 'fundamentalist' Jews who will object.  This clown even called
for 'buying' the dissolution of the Jewish people.

   Does this idiot mean to suggest that any Jew who objects to an
imibicilic notion like this is fundamentalist?  Or does he simply
mean to insult the orthodox by using the word 'fundamentalist?'

   I am not orthodox.  I am not fundamentalist.  I would desire a
genuine peace in the region more than this pinhead  Davidsson can
ever understand.  But when he shows his willingness to dismiss an
entire culture, he proves that the only thing more brain-boggling
than his stupidity is his willingness to display his stupidity in 
this newsgroup."
367|"T8900DIP.TXT - Jeffrey E. Hundstad (j3gum@vax1.mankato.msus.edu)

                     Switch Settings on the Trident 8900C

----------------------------------\         /-----------------|
               |-----------| |-------------------| |-----------
                   VGA Graphics Adapter Layout #1 (8-DRAM)

----------------------------------\         /-----------------|
               |-----------| |-------------------| |-----------
                VGA Graphics Adapter Layout #2 (2/4/8 - DRAM)

----------------------------------\         /-----------------|
               |-----------| |-------------------| |-----------
                VGA GRaphics Adapter Layout #3 (2/4/8 - DRAM)

1.  Dip Switches
2.  DB-15 connector: For analog monitors.
3.  DB-9 connector: for TTL monitors. (* NOTE #1)
4.  Jumers J1, J2, J3, J4 (J3 for layouts #2 and #3, J4 for layout #3)
5.  Video BIOS: Basic Input/Ouput System.
6.  TVGA 8900 Chip: VGA GRaphics chip.
7.  Edge connector: For IBM PC/XT, PC/AT and compatible systems.
8.  Video DRAM: up to 1MB
9.  Feature connector: For special applications.
10. Video DAC
11. Jumper Blocks JP1 and JP2 (2/4/8 board only)
* NOTE #1 - Hardware option.  Feature not present for all board versions.

Switch settings for the 6 switch dip box (#1 from figures).

Switch 3:  Scan Rate
  On  - Less than 48KHz (default)
  Off - 38-49Khz

Switch 5:  Fast and Slow Address Decode
  Off - Fast address decode (default)
  On  - Slow address decode

Switch 6:  8/16 bit Data Path
  Off - 16-bit data path (default)
  On  - 8-bit data path


Jumper settings

J1:  Settings for IRQ9
 1 2 3     1 2 3
   xxx     xxx
 Off (def)   On

J2:  Settings for Bus Size Detections
1           1 x
2 x         2 x
3 x         3
Autodetect  Standard Interface
(def)

J3:  Settings for DRAM Configuration
   1  2  3       1  2  3       1  2  3
   ----          |  |             ----
   ----          |  |             ----
   4  5  6       4  5  6       4  5  6

    Two DRAM      Four DRAM      Eight DRAM

J4:  DRAM Clock Select
 1 2 3     1 2 3
   xxx     xxx
 40 MHz    48 MHz
Two DRAM   4/8 DRAM


SW1 & SW2"
368|"Could y'all PLEASE stop posting this stuff to tx.general.  tx.politics
is sufficient and is where this stuff belongs.  Thanks.

	Cathy"
369|"After reading the debate over the Clipper, I have a few things to
add.

	First, most of the people I know who activly use encryption
privately do not care about most of the issues that surround this debate,
and any questions about what is or is not ok to use in the US. All they
care about is wether or not what they are using is secure or not. That,
after all IS the bottom line. 

	Second, if I look at all the people I know who use any form
of encryption at all, and this group spans people from the morons who
still insist that the DES is a good and secure standard, to people 
looking at trying to improve upon existing strategies, I can not think
of anyone of them who would approve blindly of a strategy that leaves
their methods open to abuse. The Clipper does this, because people make
mistakes by nature, and the US government is made up of people who are
just as vulnerable to mistakes as everyone else. 

	Third, since most of the people I know are at least marginaly
familiar with the vulnerabilities present in current software encryption
stratigies, I can't see how most of them are going to blindly trust that
someone will not figure out a good way to compromise the Clipper Chip.
That despite any strengths or weaknesses that may exist in it. So, I can 
not see a high degree of confidence developing in the chip.

	Fourth, when it comes to criminal abuse, sure there are many stupid
people out there. And yes, some will be open to being caught via the 
built in back door of the Clipper Chip. However, anyone who is going to
do any serious investigation of how best to secure their data is going
to run into that problem pretty damned fast and, I would assume, start
looking around for other easily obtainible methods of encryption. 


	If nothing else were avalible, none of this would be an issue. However,
the truth is that most private encryption users that I've ever run into
simply do not give a damn about the legal status of RSA or PGP or anything
else. If it works, they use it. This is not going to change either. I do
not think for a moment that anyone with serious criminal intent will be
slowed down by the advent of the Clipper Chip. It is all to easy to 
convert encrypted data into unintellgible garbage as it is, if anything,
the Clipper Chip just adds another tool to the user.


	The bottom line here is that people will use what works, and
unavoidibly, I'm sure most criminals would rather face an encryption
related charge than one which could potentialy lead to death penalty
charges in the case of criminals who murder as part of their conspiricy.
	The other thing that has struck me since the advent and wide 
useage of public encryption has begun is that quite simply the cat is
out of the bag (Or if you have an interest in snooping, Pandora's Box
has been opened), and this is not going to change. I've seen a blindness
to this that I've found utterly stunning, and the Clipper Chip, along
with the way it has been presented only confirms this to me to a larger
degree.


			Sincerly,

			Tim Scanlon

-- "
370|"
An interesting interpretation of Revelation 17 and 18 has been given by  
evangelist David Wilkerson.  I am not saying that I totally agree with his  
interpretation, but it is certainly believable and good food for thought.  He  
interprets the Babylon of Revelation 17-18 as being none other than the good  
old U. S. of A.  That's right, America.  He supports his claim in several ways.   
The Babylon of Revelation is THE world leader in trade and commerce, and the  
WHOLE WORLD wept when Babylon fell.  The American dollar, despite the Japanese  
success of the 20th century, is STILL the most sought after currency in the  
world.  If the U.S. were destroyed, wouldn't the whole world mourn?  The bible  
also talks about Babylon being a home of harlots, sin, and adultery (I am  
paraphrasing, of course).  Babylon's sin affected, or should I say, infected,  
the whole world.  It doesn't take much looking to see that the U.S. is in a  
state of moral decay.  Hasn't the American culture and Hollywood spread the ""do  
it if it feels good"" mentality all over the world.  I think, though, that what  
Mr. Wilkerson uses as his strongest argument is the fact that Revelation calls  
Babylon ""Babylon the Great"" and portrays it as the most powerful nation on  
earth.  No matter how dissatisfied you are with the state of our country, I  
don't think you would have too much trouble agreeing that the U.S. is STILL the  
most powerful nation on earth.

Again, this interpretation is not NECESSARILY my own, but I do find it worthy  
of consideration."
371|"For those of you who might be familiar with Insight Distribution
     Network, Inc. and their Multimedia Kits:

I'm seriously considering buying the Insight Talon TA-2000 MM Kit, which
is bundled with the CD-ROM drive with 265-280ms access time, 300Kb dtr,
multispin, multi-session Photo CD capability, etc., and with the PAS-16
sound card, etc.... (if you are familiar with Insight, you know the kit
I mean).  I believe the drive is either a Texel (265ms) or an NEC
(280ms), but it is not clear to me which one is actually a part of the
bundle (at least two of their sales people couldn't give me a straight
answer as to which one; ah, yes, one of the drawbacks of OEM!).

Other questions:

- Excuse my ignorance, but is ""Texel"" a reputable maker in the CD-ROM
  market?  Or do you think NEC is the better drive?

- Bottom line:  Is this kit worth the money?  (Currently, $449 for the
  TA-1000, and $699 for the TA-2000)

Alternatively, I was thinking that the TA-2000 might be overkill for my
uses (however, I *do* want full multimedia capabilities, Photo CD stuff,
educational programs for my kids, etc.), and considered the lower-end
TA-1000 kit and using the difference (around $250.00) to get something
else useful, like a tape back-up drive unit.

Basically, I would just like to hear from those who have actually USED
these kits, and whatever pros/cons you might advise, preferably
directly to the email address below.

Thanks,

Koji"
372|"Hi there,
  I am looking for advice on software/hardware package for making, 
storing and processing of pictures. The ideal software would allow me to
cahnge size of the picture, edit it ( it means add text below, above...) 
and the most important is it would have DOS command interface...
Thank you in advance...
emanuel marciniak
the bank of new york.. 
"
373|"The following is posted for a friend. Send replies to the address at
the end of the post please.

Attention Zenith Z-248 owners!!!  upgrade your 8 MHz AT-class machine to '386
performance with a genuine Zenith motherboard for a clone price!  Motherboard
and I/O card pop right in to your Z-248 case while keeping your existing
video and disk controllers. 

Zenith Z-386/25 motherboard featuring 16kb of 16-layer, posted-write cache
using 15 ns SRAM; 8 Mb of 70 ns DRAM included, accepts 20 Mb on motherboard
(further RAM upgrades available via SuperSlots running at memory bus speeds;
7 Expansion slots feature 4 Zenith 32-bit SuperSlots: autodetects 8/16/32-bit
adapters; latest rev. of Z-300 setup/monitor ROMs, two serial ports, one
parallel port, secondary fan for improved system cooling, Z-386 User's Guide,
Z-386 Maintenance Guide and diagnostics disk included. $575 (includes
S/H/insurance).

Replies to: stann@aol.com

Replies to me will be forwarded.

Thanks.....

brian"
374|"
Of course, if you're a criminal, or hang around with criminals, or
flash large wads of cash in the wilder parts of town, or utter verbal
bigotry in the right public places, your chances of being shot are much
higher.

Avoiding these behaviors, on the other hand, decreases your chances of
being shot.

Something like 60% of all murders are criminals killing criminals. 
Over 90% of murders are committed by people with a prior *known*
history of violence.

Simplistic moral, suitable for my three year old, and most inane
posters:  ""Bad people do bad things - repeatedly.""
"
375|"heat
This tops the cold-hearted bastard list!  Unbelievable!  Had this countries  
morals sunk this low, that the death of innocent people is so callously viewed?

+----------------------------------------------------------------------------+
	     |
+----------------------------------------------------------------------------+
+----------------------------------------------------------------------------+


--
jmd@handheld.com"
376|"[reply to dabbott@augean.eleceng.adelaide.edu.AU (Derek Abbott)]
 
 
I know of a patient who was severely and chronically depressed and tried
to kill himself with a bullet to the temple.  He essentially gave
himself a prefrontal lobotomy, curing the depression."
377|"Yes -- my error -- you will need the DIFF between the
standard console.h and console.c supplied with
Symantec's THINK C 5.0.4 and the specially modified
one that works with MacPGP 2.2.

I added the two DIFFs to the end of the signature
file ""MacPGP2.2srcSIGNATURE"" in pub/grady of netcom.com

Please download via anonymous FTP and, using SED (oops),
cutting and pasting, fix-em-up.        

Will one of you Mac-geniuses PLEASE port this to MacApp
or AppMaker, or...?

Grady
"
378|"Howdy,

I'm a little new to this newsgroup, but I would like to tap some of the
knowledge and expertise available here.

The Subject:  After-market cruise controls

The Background:
I recently broke my ankle in a road-bicycling accident (4 places, five 
screws, yuk! :-( ).  In two weeks I will be returning to Texas (my
home) from my school (BYU) in Provo, Utah.  As you can imagine, trying to
drive nearly 1300 miles with a broken right ankle isn't just the epitome of
a good time.  My car does not have a cruise control, so I would have to do
all the pedalling (ha ha) with my messed-up ankle.

My question:
What is the general opinion of after-market cruise control units?  I
realize that a cheap CC (cruise control) from, say, Pep Boys, isn't going to
be as good as a factory or professionally installed unit (if there is such a
thing).  And I uderstand that I probably can't expect much in the way of
accuracy, looks and that sort of thing;  But anything's gotta be better than
trying to drive with a hosed ankle.

I have a 1984 Jeep Cherokee, 4 speed, standard, 4*4, 2.5L engine with
kettering(sp?) ignition (y'know, distributor cap, rotor, that set-up--not
electronic.  Maybe you could've guessed it being an '84, but I'm just trying
to give information as completly as I can).

I found a CC unit for 80 bucks.  It seems to use the vehicles vacuum system 
instead of an electric servor/motor.  Is this good or bad?  If I did buy
this CC, which vacuum hose should I tap?

It has two speed sensors:  One magnetic, and one that gets a signal from the 
negative side of the distributor, kinda like a tach pick-up, or so I
understand.  I can use either one.  Which is best?  The manual says (I read
it in the store today) that the magnetic/axle set-up is more accurate, but
harder to install.  Is there really a big difference?

It has a sensor for the brake pedal, just like other CCs, but does NOT have a
sensor for the clutch pedal.  So if I wasn't paying real close attention I
might push the clutch in while the cruise is trying to get the speed up.  Which
would wind the engine up kinda high until I got my wits about me and turned 
the thing off.  I'm pretty coordinated, so this doesn't bother me, if it
were for my girlfriends car, *then* it would bother me, but I'm ok with it.

The installation also calls for an attachment to a steady-on brake signal
and a switched-on brake signal.  I think I can get a switched brake signal
from the correct side of the brake light blade fuse.  Am I right?  But I'm
not sure where to get the steady-on brake signal, or, for that matter, what
exactly it is?  Any ideas as to what the manufaturer wants and where to get
it?

I think I can figure the other things out.  Like how to hook-up the negative
side tach-type sensing gizmo and the cabin control unit, and the ground and
all that miscellaneous business.  But I need a little help with:

	1.  Is it worth the money and safety risk (if any) for such a
	    device?
	2.  Is there any particularly good after-market CC?
	3.  Are ""professionally"" installed CCs signifacantly better and
	    worth the cabbage?
	4.  If the unit I saw (sorry, no manufacturer or model number, just
	    that it is at Pep Boy and its $80) is sufficient for my simple 
	    needs, how do I get the thing installed properly (specifically,
	    the questions above)?

My father and I built a ""Veep"" (Volkswagen powered Jeep CJ-2A) when I was in
high school, so I consider myself fairly good with tools, electronics, and
cars.  So the installation doesn't scare me.  I just want to be certain that
I get the thing installed correctly as my Cherokee is just a wee bit more
complicated than my Veep. :-)

I appreciate your time in reading my post, and I would appreciate any
expertise or opinion anybody has on the subject.  If you would like to share
some of your wisdom, please email as I don't get over this group very often
(but I check my mail all the time).

Again, thanks for any help anyone may have."
379|"Could someone please post any info on these systems.

Thanks.
BoB
-- 
---------------------------------------------------------------------- 
Robert Novitskey | ""Pursuing women is similar to banging one's head
rrn@po.cwru.edu  |  against a wall...with less opportunity for reward"" "
380|"
Because Greyhound has apparently gotten around to installing their
RADAR collision-prevention system. They use RADAR to monitor how close
other vehicles are and how fast their relative speeds are, and signals
a warning to the driver if they're coming up on something too fast
or are getting too close.

This is all I remember from the news reports a few months back; at
the time, they were only talking about the possibility of installing
the system. (They didn't mention how it worked in bumper-to-bumper
traffic, or how it discriminated between a Camaro approaching at
120mph and ye olde bridge support in the median being approached 
at 60mph on a curve.)

I do recall something about progressive stages of warnings, from
flashing lights to audible warnings--ie, it goes from a red ""Too
close"" light to hysterically screaming ""WE'RE ALL GOING TO DIE!!!!""  :-)

				James"
381|"Hi,

My name is rahul and I am doing MS at USU, Logan
My query is:
	I have a HP workstation: HP Series 400 with X running on it.
I have a true color - 24bit color monitor connected to this machine.
Normally I have the capability to display 256 colors from a max of
16.7 million. Since the monitor is True Color I can see 16.7
million at a time. 
Que: do we have a facility in X(c-function call) that will enable me
to specify any RGB combination and see it on screen? I am using
XStoreColor to set the pallette of a max of 256 colors.
Que: If not. Is there any way I can display a true color image
on a true color monitor using XLib function calls?

We are generating ray traced images and 256 colors are indeed a
painful limit. besides I need the facility to display the true color images 
i will be generating on a true color system WITHOUT color 
quantification.
Please, if anyone can help i'd be obliged"
382|"Hello.


I just read my first newspaper in a while and noticed an article on a
'messianic cult' leader named 'David Koresh'.

I'd like to know more about this and what is going on with them.

Please email me as I don't normally read this newsgroup.  Thanks.
"
383|"

But with cheaper fuel from space based sources it will be cheaper to 
reach more orbits than from the ground.

Also remember, that the presence of a repair/supply facility adds value
to the space around it. If you can put your satellite in an orbit where it
can be reached by a ready source of supply you can make it cheaper and gain
benefit from economies of scale.

  Allen"
384|"

You realize, of course, that inevitably some anal retentive moron is
going to come along and wag his fingers and his jowls in outrage that
personal politics are more important than [SMCAP][BOLD][Font:God
999pt.]The Law[smcap][bold][font].

But that's irrelevant to the problem here.  Windows came with my
system, but on 5.25"" disks.  I hate using 5.25"" disks, so I copied
them over to high density 3.5""'s using xcopy.  It worked fine.  In
fact, for a while I was changing configurations and whatnot so much
that I decided to try putting them on the hard disk.  Not only can you
copy them over with one disk per directory, but if you want to, you
can simply copy them all into one directory.  Makes it a lot nicer
when you're switching printer emulations around.

Norton 6.0 I don't have much experience with, but when a friend's
system crashed, we restored from a backup rather than from the
originals, and it worked fine.  This would imply that arj a -r norton
c:\nu would create a workable backup, and if you did a full install
the first time, you've got the whole thing.

Never played with WP for Windows; I'm not too big of a fan of anything
from Utah.

Good luck....

Disclaimer: Don't Copy That Floppy! (tm) Just Say No! (r) Respect Your Elders!
For The Wages Of Sin Is (sic) Death And A Hefty Legal Bill!  DO YOU OFFEND?

Rob"
385|"Hi, I have a trident TVGA-8900 video card and need the updated
drivers for Win3.1 where can I get them from an ftp site.


					Thanks"
386|"


Woops!  This is rec.sport.hockey! Not rec.sport.golf!  Hope you check the
newsgroup header next time before posting!

Steve
"
387|"SSRT ROLLOUT

                Speech Delivered by Col. Simon P. Worden,
                     The Deputy for Technology, SDIO
                                    
                  Mcdonnell Douglas - Huntington Beach
                              April 3,1993

     Most of you, as am I, are ""children of the 1960's.""  We grew
up in an age of miracles -- Inter-Continental Ballistic Missiles,
nuclear energy, computers, flights to the moon.  But these were
miracles of our parent's doing.  For a decade and more the pundits
have told us - ""you've lost it!""  The ""me"" generation is only
living on the accomplishments of the past.

     You and I have even begun to believe the pessimists.  We
listen in awe as the past generation tells of its triumphs.  Living
history they are.  We are privileged to hear those who did it tell
of it.  A few weeks ago some of this very team listened in awe as
General Bernie Schriever told of his team's work - and yes struggle
- to build this nation's Intercontinental Ballistic Missile.

     What stories can we tell?  Blurry-eyed telescopes?  Thousand
dollar toilet seats?  Even our space launch vehicles hearken only
of that past great time.  They are and seem destined to remain Gen.
Schriever's ICBMs.  I find it hard to swell with pride that the
best new space-lifter idea is to refurbish old Minuteman and
Poseidon ballistic missiles.

     Well - The pessimists are wrong.  The legacy is continuing. 
This event is proof.  To our technological parents: We've listened
to your stories.  We've caught your enthusiasm and can-do spirit. 
And we've learned from your achievements - and your mistakes.  Let
me honor one of you who was part of that history and the impetus
behind this history - Max Hunter.  You are one of the greatest
engineers of the firts great age of space exploration.  Your
insight and discipline built the Thor ICBM - later incorporated
into today's most successful launch vehicle - The Delta.

     You told us in the 60's that a new form of launch vehicle - a
single stage reusable rocket - can and should be built.  You
advocated this idea tirelessly.  It was elegantly simple, as are
all great breakthroughs.  You showed us how to build it.  You
convinced us it could be done.  You are working by our side to weld
its components into place.  Most important - you reminded us of a
prime engineering principle - undoubtably one you learned from the
generation before you - the generation that built transcontinental
aviation in the 1920's and 30's - build a little and test a little
and Max, you passed all of this on  to people like Pat Ladner who
started this program for the SDI.

     Douglas Aircraft didn't start with a DC-10.  They didn't even
start with a DC-3.  Our grandfathers built a little, tested a
little - even sold a little and made a little money - before they
moved on to the next step.  They didn't take a decade or more
before putting the first ""rubber on the road.""  Max Hunter - you
didn't take ten years to build Thor, and by God we're not going to
take ten years to show that low cost, single stage, reusable
aerospace transportation is real.

     We ended the cold war in a few short years.  It took the  same
team here today but a few years to show through the Strategic
Defense Initiative that the cold war must end.  We - you and us -
launched a series of satellites - The Delta experiments - in about
a year apiece.  This, more than anything else signaled our
commitment to end the impasse between ourselves and the Soviet
Union.  Those who made the decisions on both sides have underscored
the importance of our work in bringing about a new international
relationship.

     But it is the same team which is now  putting in place the
framework for an aerospace expansion that is our legacy for the
next generation.  We will make space access routine and affordable.

     We built this magnificent flying machine in two years.  This
summer a true rocket ship will take off and land on earth for the
first time.  Then we can and surely will build in the next three
years a reusable sub-orbital rocket.  It will allow us to use space
rapidly, affordably, and efficiently as no other nation can.  And
yes - we'll make a little money off it too!

     Then - and only then - we'll spend another three years to
build a fully reusable single stage to orbit system.  The DC-3 of
space will be a reality!  We may even be able to use some of the
rocket propulsion breakthroughs of our former cold war adversaries. 
What a wonderful irony if this SDI product and Russian efforts to
counter SDI merge to power mankind's next step to the stars!

     To be sure, we must guard against the temptations to leap to
the final answer.  Robert Goddard's first rockets weren't Saturn
V's!  If we succumb  to the temptation to ask  for just a few extra
dollars and a few more years to jump immediately to a full orbital
system - we will fail.  Max Hunter and his colleagues showed the
way.  Three years and a cloud of dust - in our case rocket
exhausts.  There is no short-cut.  If we expect to reshape the
world again - we must do it one brick at a time.  Minds on tasks at
hand!"
388|"Jammer !

 Dit is geen fantastische advertentie over nep-rolexen
 maar een evenzo duidelijke mededeling hieromtrent :

 Aangezien het alleen al aanbieden van deze horloges onder
 vermelding van de echte merknaam niet geheel correct is,
 wil ik met dit bericht duidelijk maken dat ik, Marcel Engelbertink,
 niet meer zal adverteren met imitatie-horloges van het merk ROLEX.

 Enig persoon die hierin geiinteresseerd is kan ik jammer genoeg ook niet
 meer helpen.




 For all the foreign people who can't even understand dutch ?!? :

 In spite of earlier mailing about fake-rolex's, I announce that I
 don't have any information available any longer and I won't use
 the trade name ROLEX anymore for those fake models.


 Yours fakefully,

"
389|"Bill Burns was looking for a description of the differnces  between the
Catholic and Lutheran churches.

I'd recommend Prof. William Whalen's book ""Separated Brethren"".  It's
an overview of common US denominations, intended for a Catholic
audience.
"
390|"

F A Q !

Reference:
Newsgroups: comp.sys.mac.apps,comp.sys.mac.misc,comp.sys.mac.system,
	comp.sys.mac.wanted,comp.sys.mac.hardware,comp.answers,news.answers
Subject: Introductory Macintosh frequently asked questions (FAQ)"
391|"Well, my 14inch VGA 1024x758-interlacing 2.5 year old no brand monitor just
bit the bullet. I pressed the power switch and a few seconds later, the power
light went out with a POP. Gawd, it's only been two and half years.

How long would normal monitors last? I think the problem with my monitor is
the power switch... but the image was getting pretty dim anyway (I needed to
have my contrast all the way to the max...). And the screen did flicker from
time to time. Is this normal (hehehe) or do I just have the worst of luck???

Question: What do I do now???? Buy a new one? Get it fixed? Save up for a
*really* good one and get by with a cheap EGA monitor for now? I rather save
my money to upgrade my 386SX to 486-66 though...

Thanks!"
392|"
I thought Bill James' latest book completely and totally sucked.  I bought
it, but will not purchase anything of his ever again without THOROUGHLY
looking at it first.  What tripe.

The book is inconsistent, and filled with selective analysis.  James
claims to be looking forward, and then makes some absolutely bizarre
statements of value.  Not only that, but I got the impression he
probably glanced at the book for about an hour before he put his name
on it. 

To say I was disappointed is a grand understatement.

"
393|"
That's not all that Kratz doesn't know.


Now we know that Kratz doesn't understand what a safety is supposed to
do.  (He also confuses ""things he can see"" with ""things that exist"";
Glocks have multiple safeties even though only one is visible from the
outside.)

A safety is supposed to keep the gun from going off UNLESS that's
what the user wants.  With Glocks, one says ""I want the gun to go
off"" by pulling the trigger.  If the safeties it has make that work,
it has a ""real"" safety, no matter what Kratz thinks.

-andy"
394|"As nobody in the food industry has even bothered to address my previous
question ""WHY DO YOU NEED TO PUT MSG IN ALMOST EVERY FOOD?"" I must assume
that my wife's answer is closer to the truth than I hoped it was.

She believes that MSG is added to food to cause people to eat more of it
and not quit when they shoud be sated.  To put it a different way, she 
believes that for some people MSG causes them to act toward food like an addict.  
(Eat all the chips, chow down on several packages of noodle soup .... you get the
idea! }  IF she is right, then the moral and ethical standards of the 
food, chemical and regulatory groups need to be addressed!!!  Can MSG
be considered a conditioning substance (not addictive but sort of habit
forming) ?

This brings up a side question of mine.   I have noticed that cats (my
children's and my parent's) seem to fixate on a particular brand of pet
food. The cat will eat any product within one brand and not any other
brand.  I have wondered if this is not a case of preference, but, some
sort of chemical training or addiction. My questions, for the net, are:
Does the FDA regulate the contents of pet food?  Is it allowed for pet
food to contain addictive or conditioning substances?  Is MSG put in 
pet food?

-----------------------------------
I speak for myself and not Motorola
-----------------------------------
 "
395|"[I am posting this for a friend whose news service is ""fubared as usual"".
 I will forward replies to him, or if you want to try to reply directly,
 try: Return-Path: <uunet!sunfse.ese.lmsc.lockheed.com!mcfar>    PR ]


I have an event handler working for a ButtonPressMask like:

  XtAddEventHandler( plot_data->display, ButtonPressMask, FALSE,
                    show_mouse_position, plot_data);

but I would like to be able to have two types of actions: one to occur
with the left mouse, the other the right, and perhaps one with the
middle.  So my event handler would look more like:


  XtAddEventHandler( plot_data->display, left-ButtonPressMask, FALSE,
                    show_left_mouse_position, plot_data);

  XtAddEventHandler( plot_data->display, right-ButtonPressMask, FALSE,
                    show_right_mouse_position, plot_data);

However I don't know how to make my left-ButtonPressMask.  There didn't seem
to be one in the event mask lists I had on hand (although Button1MotionMask
looked promising).  My references also mentioned using ""|"" to or two
mask events.  Can you  use ""&"" to and two masks?  Would I want to in this
case? 

Any help would be appreciated.

Thanks, "
396|"


It would also be great for another reason - when not docked, it could serve
as an ARA server to the large internal HD, your corporate email, etc.  In
a pinch, you would also have two machines, instead of 1.5.

If they could couple that thought with RocketShare, and let you use both the
'030 on the PB and the '040 on the dock, it would be a mighty powerful dock.

-- "
397|"YESSS!  You make me proud to
be an 'Merkun.  Good thing you
didn't get shot though. Don't
try that with a good'ole boy in Texas.
I once had a jeep driver south of Conroe cut me off (I was 
in my car) after I had flipped him off for doing something really idiotic
and senseless.  All 280 lbs of him stretches out of his jeep; he walks
back (he is blocking all traffic between Dallas and Houston since the
freeway has been squeezed into a single lane) and says to me, ""Stick that
finger out again and I'll rip it off your hand and shove it down your
sorry-ass throat.""  I stared straight ahead, unblinking.  A hundred
cars were honking.  Eventually he got back into his jeep, face beet-red
with anger, and all the rest of the way back to Houston I tailed him, 
waving, honking, flipping him off, yelling...  I'm glad he decided 
not to shoot me.
/-----b-o-d-y---i-s---t-h-e---b-i-k-e----------------------------\
\-----------------------s-o-u-l---i-s---t-h-e---r-i-d-e-r--------/
"
398|"
Try Parts Express in Dayton, Ohio also.  They have a complete line of 
professional arcade buttons, joysticks etc...

The have a 1-800 number so call 1-800-555-1212 and ask them what the 1-800
number for Part Express in Dayton, Ohio is.  I love the free 1-800 directory 
assistance...

                                                               - Dan
-- 
             Daniel Joseph Rubin     rubin@cis.ohio-state.edu "
399|": Has anyone ever heard of a food product called ""Space Food Sticks?"" 

I remember those awful things.  They were dry and crumbly, and I
recall asking my third-grade teacher, Miss G'Francisco, how they
kept the crumbs from floating around in zero-G.  She had no clue.
I have not seen anything like them in today's space program.

Some Apollo technology is best forgotten.

-- Ken Jenks, NASA/JSC/GM2, Space Shuttle Program Office
      kjenks@gothamcity.jsc.nasa.gov  (713) 483-4368"
400|"Hi,
   I'm currently in the process of writing a number of PD programs
for the sound blaster. The first of which is a CMF voice editor which
is hopefully going to be available soon (as soon as I can get it to 
an FTP site).

Anyway the next stage is to use the midi port to enter music and play
the FM synth remotely. The problem is that I have little or no info
on the SB midi port.

I have tried using the Sound blaster freedom project routines, however
this just results in the port locking after a couple of accesses and
loss the of note velocity data byte.

I am using Turbo C and would be grateful for any info or source fragments
may help. When I was in Berlin this summer I saw a book which seemed to
have all this information, but my German is poor to say the least, if anyone
has this book could they please mail me.

My second request for help concerns standard file formats (how can a file 
format be standard if you keep it secret ?) I need to know the file format 
for instrument bank files *.BNK and Roland music files *.ROL.

Finally does anyone have a source for displaying PCX or GIF files to EGA
or VGA monitors.

Please Help, You know it makes sense."
401|"

You might try the recorder and make a micro.  I done that to do certain operations 
in a windows app that didn't have the ability to use a micro.  It should be in the 
Accessories window.  The only problem is that it has to be runing for it to work.
But, Good Luck.

"
402|
403|"
Welcome to the conservative judiciary.


I think Scalia's point was that you get one chance.  If new information
comes out later, tough.  If the conviced want justice, they have to hope
the governor is feeling charitable.

There's a guy on death row in Texas that was denied a new trial, dispite
evidence of his inocents.


It got swept away in the Reagan Revolution...
"
